route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L1b,CTPARAD,1b,Fat Frumos - Zona Industriala Vest,0,
L1,CTPARAD,1,Fat Frumos - Podgoria - Piata Romana,0,
L3,CTPARAD,3,Fat Frumos - Podgoria-Piata Romana-Gara Aradul Nou,0,
L6,CTPARAD,6,Piata Gai - Piata UTA - Piata Romana,0,
L7,CTPARAD,7,Fat Frumos - Piata UTA - Podgoria - Piata Romana - Confectii - Piata UTA - Fat Frumos,0,
L15,CTPARAD,15,Fat Frumos - Gara CFR - Sere,0,
L16,CTPARAD,16,Piata Romana - Podgoria - Sere,0,
L18b,CTPARAD,18b,Fat Frumos - Piata UTA - Confectii - Piata Romana - Podgoria - Piata UTA - Fat Frumos,0,
LVladimirescu,CTPARAD,Vladimirescu,Podgoria - Vladimirescu,3,
LGhioroc,CTPARAD,Ghioroc,Podgoria - Ghioroc,3,
L7A,CTPARAD,7A,Podgoria - Miorita - Billa - Podgoria,3,
L18A,CTPARAD,18A,Podgoria - Billa - Miorita - Podgoria,3,
L13,CTPARAD,13,ARAD - HORIA,3,
L19,CTPARAD,19,PIATA UTA-VANTULUI,3,
L21,CTPARAD,21,PODGORIA – FALEZA SUD,3,
L31,CTPARAD,31,PODGORIA - TRENULUI,3,
L39b,CTPARAD,39b,PODGORIA - ARTARULUI,3,
L41,CTPARAD,41,PIATA ROMANA - BUJAC,3,
L46,CTPARAD,46,PARCUL RECONCILIERII – CARTIER SAN PAOLO,3,
L48,CTPARAD,48,BILLA – ANL – SELGROS – REAL,3,
L49,CTPARAD,49,POSADA - CARAIMANULUI,3,
L49b,CTPARAD,49b,PIATA UTA - ECONOMU -GARA ARADUL NOU,3,
L52,CTPARAD,52,PADGORIA - GELU - PODGORIA,3,
L54,CTPARAD,54,PODGORIA - IAS MURESUL,3,
L60,CTPARAD,60,PIAȚA ROMANĂ - CONCORDIEI,3,
