stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
B001,B001,Abatorului,"str. Abatorului, nr.70",46.182140,21.297250
B002,B002,Abatorului,"str. Abatorului, nr.78",46.181910,21.296550
B004,B004,ANL,"Cartier ANL, F.N.",46.167880,21.366570
B005,B005,Armoniei,"str. Ogorului, nr.44",46.141320,21.312130
B006,B006,Armoniei,"str. Ogorului, nr.55",46.141110,21.312720
B007,B007,Arțarului,"str. 6 Vânători, nr.114",46.212800,21.320570
B008,B008,Arțarului,str. 6 Vânători vis-a-vis nr.112,46.212700,21.320440
B009,B009,Astra Sector II,"str. Petru Rareș, nr.22",46.191260,21.330260
B010,B010,Astra Sector II,"str. Petru Rareș, nr.3",46.191020,21.329870
B013,B013,Atrium,"Calea 6 Vânători, FN",46.191620,21.319570
B014,B014,Atrium,"Calea 6 Vânători, FN",46.191970,21.319620
B016,B016,Autoservice,"str. Calea Timișorii, nr.133",46.144770,21.321590
B017,B017,Autoservice,"str. Calea Timișorii, nr.124",46.145540,21.321160
B020,B020,Anton Pann,str. Anton Pann colț cu Dunării,46.213970,21.275310
B021,B021,Anton Pann,str. Anton Pann colț cu Dunării,46.214130,21.275320
B022,B022,Bagdazar,"str. Ogorului, nr.41",46.141050,21.315450
B023,B023,Bagdazar,"str. Ogorului, nr.40",46.141170,21.314810
B024,B024,Banu Mărăcine,"str. Banu Mărăcine, bl.I",46.184940,21.316110
B025,B025,Banu Mărăcine,"str. Banu Mărăcine, FN",46.185370,21.316950
B026,B026,Bela Bartók,"str. I.Rațiu, nr. 2",46.179680,21.308290
B027,B027,Bela Bartók,"str. I.Rațiu, nr. 3",46.179750,21.306470
B028,B028,Billa,"B-dul N.Titulescu, bl.340",46.174180,21.348090
B029,B029,Billa,B-dul N.Titulescu colț cu Str. Voinicilor,46.174380,21.348450
B030,B030,Brâncoveanu,"str. C-tin Brâncuși, nr.2",46.188610,21.298160
B031,B031,Brâncoveanu,"str. C-tin Brâncoveanu, nr.73",46.190090,21.297920
B033,B033,Brâncuși,Stadionul SEGA,46.189270,21.292200
B034,B034,Brâncuși,"str. Baba Novac, nr.19",46.189140,21.291980
B035,B035,Budai Deleanu,"str. Petru Rareș, nr.60",46.194429,21.335398
B036,B036,Bujac,"str. Trotușului, nr.17",46.196690,21.276030
B037,B037,Bumbacului,"str. Poetului, Cimitir Eternitatea",46.194710,21.307350
B038,B038,Bumbacului,"str. Poetului, nr.11",46.195330,21.306310
B039,B039,Călărașilor,"str. Poetului, nr.4",46.198800,21.301190
B040,B040,Călărașilor,"str. Poetului, nr.63",46.198760,21.300970
B041,B041,Caraiman,"Calea Timișorii, nr.45",46.153653,21.322004
B042,B042,Caraiman,"Calea Timișorii, nr.38",46.154023,21.321740
B043,B043,Cartier San Paolo,DC 108,46.252610,21.261700
B044,B044,Călțunaș,str. Dunării colț cu Ștefan Tenețchi,46.211300,21.277070
B045,B045,Călțunaș,str. Dunării colț cu Ștefan Tenețchi,46.210930,21.277390
B046,B046,Cedrului,Calea 6 Vânători vis-a-vis nr.50,46.207360,21.320390
B047,B047,Cedrului,"Calea 6 Vânători, nr.50",46.207230,21.320600
B050,B050,Cibinului,"str. A. Guttenbrunn, nr.35",46.154690,21.326520
B051,B051,Clopotului,"str. N. Lenau, nr.5",46.146010,21.339180
B052,B052,Clopotului,str. N. Lenau vis-a-vis de nr.3,46.146250,21.339200
B053,B053,Confecții,"str. L. Rebreanu, nr.80",46.180070,21.297040
B054,B054,Confecții,"str. L. Rebreanu, nr.87",46.180100,21.297440
B055,B055,Concordiei,str. Nouă colț cu Concordiei,46.204810,21.269460
B056,B056,Cpt. Ignat,"str. Pădurii, nr.97",46.173610,21.293610
B057,B057,Cpt. Ignat,"str. Pădurii, nr.93",46.174810,21.294260
B060,B060,Eminescu,"str. M.Eminescu, nr.91",46.171990,21.304730
B061,B061,Eminescu,"str. Andrei Șaguna, nr.132",46.171450,21.304290
B064,B064,Faleză Sud,"str. Barbu Lăutaru, bl.32-33, sc.A, sc.B",46.163720,21.290630
B065,B065,Faurilor,str. Anton Pann colț cu Faurilor,46.212800,21.271120
B066,B066,Faurilor,str. Anton Pann colț cu Faurilor,46.212950,21.271070
B067,B067,Felix,"str. Felix colț cu Nucet, bl.701",46.169020,21.351870
B068,B068,Feroneria,"Calea 6 Vânători, bl.V9, sc.A",46.198960,21.320220
B069,B069,Feroneria,Calea 6 Vânători vis-a-vis Bl. V9,46.199270,21.320160
B070,B070,Flacăra,"str. Flacăra, nr.16",46.141960,21.338380
B071,B071,Flacăra,"str. Flacăra, nr.16",46.141980,21.338560
